"Question text", "Created At", "Choice 1", "Choice", "Choice 3"
"What is the capital of Luxembourg ?", "2019-06-01 00:00:00", "Luxembourg", "Paris", "Berlin"
"What does mean O.A.T. ?", "2019-06-02 00:00:00", "Open Assignment Technologies", "Open Assessment Technologies", "Open Acknowledgment Technologies"
dddd,"2021-06-09 15:59:11",dddd,ddd,dddd
llll,"2021-06-09 16:02:28",lll,lll,llll
yyyy,"2021-06-09 16:09:06",yyyy,yyy,yyyy
eeeeeee,"2021-06-09 16:10:20",eeeeeeeee,eeeeeee,eeeeeeee
xxxxx,"2021-06-09 16:11:06",xxxxxxxxxx,xxxxxxxxx,xxxxxxxxx
jjj,"2021-06-09 16:17:48",jjjjjjjj,jjjjjj,jjjjjjjjjj
111111111,"2021-06-09 16:20:15",1111111111,111111111,1111111111
222222222,"2021-06-09 16:21:52",22222222,2222222222,22222222
33333,"2021-06-09 16:22:27",3333333333,33333333,333333333333
